from_city,lat1,lon1,to_city,lat2,log2,distance
Ahmedabad,23.0225,72.5714,Ghandinagar,23.2231,72.65,23629.44130148684
Ahmedabad,23.0225,72.5714,Kalol,23.246,72.496,25928.4473018138
Ahmedabad,23.0225,72.5714,Anand,22.556,72.951,64715.357799394784
Ahmedabad,23.0225,72.5714,Kheda,22.75,72.68,32168.957646461044
Ahmedabad,23.0225,72.5714,Khambhat,22.3,72.62,80164.91469073712
Ahmedabad,23.0225,72.5714,Kadi,23.3009,72.3322,39377.09660481174
Ahmedabad,23.0225,72.5714,Dahegam,23.17,72.82,30257.219041282493
Ahmedabad,23.0225,72.5714,Surendranagar,22.7,71.6833,97890.30195862296
Ahmedabad,23.0225,72.5714,Chaklasi,22.65,72.93,55286.05173241099
Ahmedabad,23.0225,72.5714,Modasa,23.47,73.3,89529.54574304407
Ahmedabad,23.0225,72.5714,Visnagar,23.7,72.55,75064.41096928778
Ahmedabad,23.0225,72.5714,Unjha,23.8,72.4,87871.95336228913
Ahmedabad,23.0225,72.5714,Viramgam,23.12,72.03,56517.51244422208
Ahmedabad,23.0225,72.5714,Kapadvanj,23.02,73.07,51110.45627756632
Ahmedabad,23.0225,72.5714,Sanand,22.98,72.38,20179.195063606356
Ahmedabad,23.0225,72.5714,Vadasinor,22.95,73.33,78194.66846859768
Ahmedabad,23.0225,72.5714,Mahemdavad,22.83,72.77,29486.890088798213
Ahmedabad,23.0225,72.5714,Mansa,23.43,72.67,46244.064478588
Ahmedabad,23.0225,72.5714,Patri,23.19,71.8,81171.70134373514
Ahmedabad,23.0225,72.5714,Dhandhuka,22.37,71.98,94412.3767970778
Ahmedabad,23.0225,72.5714,Vadnagar,23.785,72.64,84737.25648031948
Ahmedabad,23.0225,72.5714,Rardhu,22.643,72.7762,46991.09005437651
Ahmedabad,23.0225,72.5714,Vijapur,23.57,72.75,63327.39206204757
Ahmedabad,23.0225,72.5714,Sojitra,22.55,72.7197,54495.944734449215
Ahmedabad,23.0225,72.5714,Chanasma,23.72,72.12,89983.75474540358
Ahmedabad,23.0225,72.5714,Ladol,23.6167,72.7333,67858.15169147555
Ahmedabad,23.0225,72.5714,Dakor,22.75,73.15,66598.41399423276
Ahmedabad,23.0225,72.5714,Vallabh Vidyanagar,22.56,72.95,64299.841197379894
Ahmedabad,23.0225,72.5714,Prantij,23.4384,72.8572,54562.95494303901
Ahmedabad,23.0225,72.5714,Morasar,23.0942,72.5961,8334.0910091442
Ahmedabad,23.0225,72.5714,Kheralu,23.88,72.62,95098.18901261796
Ahmedabad,23.0225,72.5714,Bareja,22.85,72.5833,19142.142935955653
Ahmedabad,23.0225,72.5714,Anghad,22.3913,72.9946,82318.97536403146
Ahmedabad,23.0225,72.5714,Od,22.6219,73.1161,71377.5702247099
